#{"t_start": 1733699151.7185264, "env_id": null}
r,l,t
381.0,2947,862.973333
811.0,3828,882.967549
1271.0,5342,1618.252455
877.0,1559,1619.220193
1333.0,2823,1627.465064
1720.0,7545,2501.907558
1344.0,2315,2514.836051
1121.0,2838,2516.914105
968.0,2868,3271.266819
889.0,888,3287.079183
1604.0,3070,4028.374786
2273.0,3687,4742.760866
1827.0,4839,4751.254191
3264.0,5638,4754.924917
1591.0,1864,4755.065504
1821.0,927,4771.380008
1380.0,1590,4778.70033
1950.0,1347,5469.248847
937.0,595,5469.373817
2336.0,1822,5479.448455
998.0,1189,5488.758676
969.0,652,5503.581682
2382.0,2191,6203.363036
2113.0,1909,6207.391399
1955.0,1164,6215.35268
1805.0,3154,6224.786412
1054.0,889,6235.132767
1651.0,1481,6240.570656
2412.0,1153,6935.347738
1363.0,1170,6945.928584
1824.0,4158,7661.347368
1931.0,2179,7674.966926
2486.0,3687,7688.117318
2223.0,3391,7691.627622
1092.0,857,7694.026467
1547.0,780,8399.52465
1362.0,1051,8399.587144
1758.0,1458,9116.447129
2693.0,3955,9121.891768
3464.0,2816,9127.151773
984.0,559,9134.644777
919.0,2656,9142.998117
2392.0,1269,9155.222377
1627.0,1003,9852.368249
1900.0,872,9861.646602
2067.0,1920,9864.263616
1886.0,1073,9876.128412
1379.0,768,9878.244703
2394.0,3389,9878.510282
1757.0,717,9880.423167
899.0,556,9892.335335
1350.0,784,10581.813836
1790.0,1113,10586.437711
1898.0,1254,10591.642247
1365.0,648,10592.128124
1377.0,789,10598.725373
2393.0,1321,10614.791949
2195.0,1202,10617.863136
2208.0,954,10619.180425
2443.0,1711,11310.275309
1736.0,654,11315.837568
1703.0,813,11317.922477
1961.0,1160,11322.31067
1938.0,900,11330.225809
1408.0,598,11335.705355
1179.0,938,11338.611495
1738.0,839,12042.77845
2783.0,2011,12045.72331
2659.0,1177,12047.134007
2038.0,861,12061.208547
1800.0,843,12064.359424
2349.0,865,12066.256077
1521.0,728,12077.540013
3478.0,1412,12784.056661
2558.0,3834,12787.316805
2864.0,1049,12787.459024
1800.0,848,12806.280627
1752.0,1104,12808.319072
2359.0,1152,12812.613507
2307.0,3291,13508.332311
2320.0,979,13514.679917
1998.0,780,13525.714019
1384.0,712,13530.462543
1477.0,625,13539.051221
2296.0,855,14233.107107
1380.0,769,14239.847747
2367.0,3062,14242.088344
2132.0,3119,14249.63973
1710.0,699,14255.598899
2950.0,1316,14262.056727
883.0,874,14269.124992
2589.0,1230,14269.171858
1086.0,546,14959.186281
2916.0,1281,14982.179075
1936.0,3007,15695.857133
1709.0,3025,15709.786217
1535.0,2930,15712.314229
1172.0,1981,15714.884992
1386.0,607,15722.84663
2823.0,1564,15729.508092
1524.0,696,15729.918885
514.0,412,16426.275176
1901.0,837,16428.829581
544.0,395,16434.644552
1402.0,602,16441.619556
1152.0,497,16453.046199
2309.0,855,16453.719945
2443.0,2770,16460.396314
1340.0,640,16468.091409
1872.0,697,16468.640561
2179.0,724,17164.171954
1589.0,2843,17167.619362
2361.0,833,17174.106288
931.0,921,17175.424868
2261.0,804,17181.458273
2108.0,673,17182.132793
1305.0,577,17187.790604
2761.0,921,17193.840325
1375.0,685,17196.785759
2291.0,904,17888.978045
1382.0,626,17889.463258
2274.0,668,17896.391137
1762.0,565,17901.595273
2570.0,803,17902.284
2834.0,1031,17911.924373
2227.0,706,17912.28459
1580.0,672,17916.736514
1932.0,661,17917.189539
1747.0,714,17927.659046
1895.0,631,17931.374483
2919.0,1030,18618.252064
2309.0,816,18629.44318
2160.0,750,18631.145052
1776.0,632,18631.935384
2200.0,1599,18636.075207
2200.0,680,18644.740065
2320.0,876,18650.633714
3205.0,868,18651.229108
3419.0,1006,18658.237051
2163.0,859,19352.240608
2169.0,681,19354.387035
2341.0,837,19358.291914
602.0,361,19362.098971
1716.0,549,19364.042713
529.0,400,19366.989851
1388.0,612,19377.286553
2204.0,718,19377.600578
1529.0,601,19379.857382
2169.0,727,19393.306779
2583.0,750,20082.232532
2004.0,624,20092.859273
2417.0,2995,20098.01632
1556.0,573,20105.776543
1469.0,512,20109.067385
1381.0,550,20117.688677
1475.0,525,20121.039194
2374.0,3063,20819.25411
2090.0,629,20820.41408
1700.0,570,20821.826091
1901.0,574,20831.636722
1358.0,555,20832.40548
2634.0,2949,20835.571808
2432.0,714,20837.232429
943.0,429,20840.838415
1707.0,589,20845.023037
1528.0,566,20847.670585
1748.0,586,20853.392584
2865.0,803,20854.426176
1979.0,601,20857.891356
593.0,353,21547.33646
2344.0,668,21555.275502
1823.0,515,21555.454645
2714.0,663,21561.849662
2368.0,688,21570.407065
2710.0,768,21578.321973
2129.0,701,21585.406536
2086.0,732,22283.983953
2555.0,2870,22285.896556
2569.0,772,22292.30769
1736.0,568,22298.733932
2123.0,698,22299.628106
2343.0,2749,22305.035467
